timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
155647.97,28942,262144,64,261551,17234843618,17,1736,116,594,5367167,13,103026,22,72,120718402,1190,1,4,446,326249023,13,1304866956,21,45334,11254963,4,170431,594,206174,116438687744,340337553,861274209,5489775955,594,1597,3,1,4,4,1069,3,5459746876,5429085824,1225048637,331195995,331261531,3,1,17222191772,73389,73389,4,4,4,331195999,11,3,570790,208938985,6546202,463632,45317,5459746876,4903535,333797853,15836
160672.17,29046,262144,64,276739,18234922192,17,1831,120,594,5688501,13,108996,22,72,120718402,1190,1,4,446,345227992,13,1380718348,21,47932,11993431,4,170431,594,218674,126369129528,360446288,925509748,5805081749,594,1597,3,1,4,4,1069,3,5773340458,5743848778,1310872997,350455770,350472154,3,1,18223700072,73389,73389,4,4,4,350455774,11,3,612281,221916696,6991478,506228,47912,5773340458,5182273,353461050,15836
165684.12,29167,262144,64,291978,19238656818,17,1930,122,594,5993226,13,114995,22,72,120718402,1190,1,4,446,364274391,13,1456774616,21,50556,12728210,4,170431,594,230702,133558417200,380534861,989645139,6123354857,594,1597,3,1,4,4,1069,3,6089878189,6059896893,1397222068,369778922,369778922,3,1,19228503976,73389,73389,4,4,4,369778926,11,3,645130,235749824,7400739,528838,50535,6089878189,5464388,373141369,15836
170704.58,29279,262144,64,308373,20320624590,17,2035,127,594,6338462,13,121489,22,72,121020052,1190,1,4,446,384786881,13,1539082912,21,53372,13614082,4,170431,594,243730,141798682552,401722589,1052013026,6465338774,594,1597,3,1,4,4,1069,3,6430021963,6400541760,1482306637,390567554,390600322,3,1,20309512840,73389,73389,4,4,4,390567558,11,3,679719,248613074,7836410,583855,53352,6430021963,5754607,393894010,15836
175716.90,29381,262144,64,324299,21369068732,17,2143,132,594,6680418,13,127744,22,72,121020052,1190,1,4,446,404624554,13,1618304312,21,56093,14452680,4,170431,594,256114,148786728504,422112039,1115832838,6795654760,594,1597,3,1,4,4,1069,3,6758528828,6730506382,1568346859,410703873,410769409,3,1,21356601428,73389,73389,4,4,4,410703877,11,3,709187,263325110,8186997,642412,56075,6758528828,6038006,413934183,15836
180728.54,29488,262144,64,340034,22404705914,17,2239,137,594,7039377,13,133928,22,72,121020052,1190,1,4,446,424268792,13,1696816824,21,58799,15424427,4,170431,594,268930,158135588568,442454710,1179181572,7124272150,594,1597,3,1,4,4,1069,3,7085374584,7056887614,1653947879,430629359,430662127,3,1,22392726700,73389,73389,4,4,4,430629363,11,3,743209,276992005,8554591,717670,58778,7085374584,6321707,433908845,15836
185758.97,29598,262144,64,355627,23433498448,17,2342,142,594,7373648,13,140094,22,72,121020052,1190,1,4,446,443796291,13,1775056040,21,61477,16536580,4,170431,594,281446,166537652976,462832373,1242968526,7449752763,594,1597,3,1,4,4,1069,3,7409083739,7380689329,1739632817,450414693,450447461,3,1,23421564068,73389,73389,4,4,4,450414697,11,3,774257,290949203,8911558,769374,61458,7409083739,6604274,453931025,15836
190774.52,29699,262144,64,371166,24457460976,17,2435,144,594,7685950,13,146211,22,72,121020052,1190,1,4,446,463180934,13,1852529832,21,64162,17378545,4,170431,594,294018,175135968232,482986643,1306806793,7774776915,594,1597,3,1,4,4,1069,3,7732335923,7703105501,1825517952,470093975,470126743,3,1,24444034764,73389,73389,4,4,4,470077595,11,3,805726,304533081,9284904,800931,64143,7732335923,6885019,473710878,15836
195793.37,29818,262144,64,386862,25489649370,17,2542,154,594,7987108,13,152403,22,72,121020052,1190,1,4,446,482789457,13,1930963856,21,66857,17927998,4,170431,594,306306,182207766032,503554386,1370250191,8102377056,594,1597,3,1,4,4,1069,3,8058151992,8028150245,1910918274,489968594,490001362,3,1,25478366920,73389,73389,4,4,4,489968598,11,3,833724,317711236,9681850,814780,66836,8058151992,7172328,493883343,15836
200818.10,29936,262144,64,402074,26493774338,17,2644,157,594,8279674,13,158416,22,72,121020052,1190,1,4,446,501784157,13,2007007352,21,69489,18835233,4,170431,594,318706,190958004400,523647824,1434554725,8421487715,594,1597,3,1,4,4,1069,3,8375542739,8344238556,1996920737,509276633,509276633,3,1,26482384948,73389,73389,4,4,4,509276637,11,3,876357,330851811,10128023,828665,69468,8375542739,7451009,513528995,15836
205844.72,30044,262144,64,417657,27521923578,17,2742,161,594,8627928,13,164544,22,72,121020052,1190,1,4,446,521123301,13,2084234880,21,72237,19879143,4,170431,594,331030,197119198928,543922335,1497743845,8754484150,594,1597,3,1,4,4,1069,3,8706728000,8668360458,2082212755,528980047,529029199,3,1,27506962476,73389,73389,4,4,4,528980051,11,3,905900,344738846,10477309,881973,72219,8706728000,7745955,533456410,15836
210871.29,30150,262144,64,433172,28542491276,17,2843,170,594,8939031,13,170622,22,72,121020052,1190,1,4,446,540382726,13,2161142808,21,75038,20911959,4,170431,594,343606,203592855272,564247771,1562254416,9092230295,594,1597,3,1,4,4,1069,3,9042653665,8991192372,2168610416,548524827,548557595,3,1,28522439068,73389,73389,4,4,4,548508447,11,3,944929,357738173,10911713,895636,75017,9042653665,8043395,553348722,15836
215893.92,30255,262144,64,449016,29586529688,18,2942,172,666,9260141,13,176820,23,72,133459346,1334,1,4,446,559970039,13,2239492540,22,77960,21798789,4,170446,666,356948,211293390904,584613600,1626851403,9446441547,666,1981,3,1,4,4,1069,3,9394964753,9321557066,2255692063,568453743,568519279,3,1,29559594668,73389,73389,4,4,4,568453747,11,3,976518,371855079,11303248,912875,77941,9394964753,8347266,573322348,17329
