timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
530372.72,19,253952,62,117184,7719322972,5,43679377,925,8,8,6640,816,6,576,984032,0,36,46114,19,61,116602928,1154,1,0,4,2676,146113907,8,584455628,18,22,14,4633,576,0,0,65339600,8544174,2465022858,0,576,626,0,3,1,14,14,3317,0,3,2462723754,2433226160,117426250,148265310,148265310,1,3,1,0,7709796152,73389,73389,14,14,14,148265314,9,3,179517,1008395,1474442,20496,2462723754,984032,63867792,1992
532377.97,19,253952,62,122893,8095374424,6,46463946,953,8,8,6640,837,6,576,1014117,0,36,48349,19,61,116602928,1154,1,0,4,2676,153258211,8,613032844,18,22,14,4633,576,0,0,67741438,8547319,2579821073,0,576,626,0,3,1,14,14,3317,0,3,2577154317,2551619977,122615650,155494084,155494084,1,3,1,0,8085692400,73389,73389,14,14,14,155494088,9,3,189870,1039382,1524528,21418,2577154317,1014117,66219635,1992
534384.41,19,253952,62,128998,8497341934,6,47730665,967,8,8,6640,891,7,576,1050915,0,36,50763,19,61,116602928,1154,1,0,4,2676,160885592,8,643477608,18,22,14,4633,576,0,0,70476329,8550999,2707346680,0,576,626,0,3,1,14,14,3317,0,3,2705033531,2678210026,126620170,163214378,163214378,1,3,1,0,8487147688,73389,73389,14,14,14,163214382,9,3,190668,1077183,1571567,22510,2705033531,1050915,68907593,1992
536389.13,19,253952,62,134687,8872384316,6,49230081,986,8,8,6640,911,7,576,1082141,0,36,52997,19,61,116627060,1154,1,0,4,2676,168013879,8,672055516,18,22,14,4633,576,0,0,72833389,8551528,2826457865,0,576,626,0,3,1,14,14,3317,0,3,2823734043,2796089392,130476381,170440993,170440993,1,3,1,0,8862931668,73389,73389,14,14,14,170440997,9,3,191060,1109310,1606582,23463,2823734043,1082141,71229734,1992
538401.28,19,253952,62,142241,9370254638,6,50574031,1026,9,9,6640,979,7,585,1138580,0,36,55987,19,61,118357797,1172,1,0,4,2676,177419035,8,709676140,18,23,14,4633,585,0,0,76894563,8655979,2982915742,0,585,635,0,3,1,14,14,3317,0,3,2980304772,2952972981,135982412,180014394,180014394,1,3,1,0,9360748520,73389,73389,14,14,14,180014398,9,3,197296,1167253,1683655,24803,2980304772,1138580,75213992,2027
540407.61,20,253952,62,150372,9905975430,6,52152943,1084,9,9,6640,1019,7,585,1203620,0,36,59176,19,61,118357797,1172,1,0,4,2676,187577197,8,750308788,18,23,14,4633,585,0,0,81241083,8781181,3154863576,0,585,635,0,3,1,14,14,3317,0,3,3151691347,3121779744,142034447,190300499,190300499,1,3,1,0,9895625980,73389,73389,14,14,14,190300503,9,3,203859,1234001,1783460,26217,3151691347,1203620,79460880,2027
542414.15,20,253952,62,158998,10475029426,6,53510801,1162,9,9,6640,1069,7,594,1268934,0,36,62560,19,61,119855639,1190,1,0,4,2676,198333359,8,793269096,18,23,14,4633,594,0,0,85840920,8872061,3331942432,0,594,642,0,3,1,14,14,3317,0,3,3329641140,3300910918,148059982,201243679,201243679,1,3,1,0,10464671340,73389,73389,14,14,14,201243683,9,3,207883,1301135,1882506,27693,3329641140,1268934,83961852,2058
544418.81,20,253952,62,167087,11008287290,6,54752752,1229,9,9,6640,1128,7,594,1323609,0,36,65763,19,61,119855639,1190,1,0,4,2676,208472764,8,833891056,18,23,14,4633,594,0,0,89816939,8888367,3501780943,0,594,642,0,3,1,14,14,3317,0,3,3498271712,3468597512,153254230,211511241,211511241,1,3,1,0,10998584564,73389,73389,14,14,14,211511245,9,3,214062,1357299,1958541,29109,3498271712,1323609,87861997,2058
546427.19,20,253952,62,173845,11454654586,7,57351202,1246,10,10,6640,1164,7,594,1362464,0,36,68419,19,61,120169355,1190,1,0,4,2676,216896965,8,867523300,18,24,14,4633,594,0,0,92663212,8904748,3646234632,0,594,642,0,3,1,14,14,3317,0,3,3643008685,3609598985,158757718,220056324,220072708,1,3,1,0,11442928880,73389,73389,14,14,14,220056328,9,3,222244,1397311,2004565,30299,3643008685,1362464,90662357,2058
548434.29,20,253952,62,183169,12069452710,7,58563866,1323,10,10,6640,1232,7,594,1427810,0,36,72108,19,61,120169355,1190,1,0,4,2676,228566358,8,914265432,18,24,14,4633,594,0,0,97416719,8975436,3839591925,0,594,642,0,3,1,14,14,3317,0,3,3835782283,3802991056,164767236,231892432,231908816,1,3,1,0,12058406496,73389,73389,14,14,14,231892436,9,3,222825,1464469,2072543,31912,3835782283,1427810,95348075,2058
