timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
291055.52,3,253952,62,63982,4214493238,1,17107951,0,385,4,4,10033,468,17,576,489610,0,7,25164,13,11,110935115,1154,1,0,4,459,79709762,5,318839048,12,18,8,1491,576,0,0,35078969,1745001,1364920376,0,576,314,0,3,1,14,14,936,0,3,1363771218,1329819124,53783015,80863876,80863876,1,3,1,0,4204921584,73389,73389,14,14,14,80863880,5,3,128749,502073,863868,11374,1363771218,489610,34216388,1344
293066.11,3,253952,62,71038,4679449114,1,18883178,0,425,4,4,10033,513,17,576,548151,0,7,27934,13,11,111900395,1154,1,0,4,459,88494487,5,353977948,12,18,8,1491,576,0,0,39193290,1919633,1510345643,0,576,314,0,3,1,14,14,936,0,3,1509398144,1476406763,59863331,89792268,89792268,1,3,1,0,4669197968,73389,73389,14,14,14,89792272,5,3,134014,562038,942659,12575,1509398144,548151,38252067,1344
295081.06,3,253952,62,78269,5155511810,1,20639143,0,478,4,4,10033,544,17,585,606986,0,7,30766,13,11,114571551,1172,1,0,4,459,97503623,5,390014492,12,18,8,1491,585,0,0,43396946,2082184,1660109893,0,585,323,0,3,1,14,14,936,0,3,1658672380,1626281310,65962553,98929778,98946162,1,3,1,0,5144348488,73389,73389,14,14,14,98929782,5,3,140908,622331,1032963,13790,1658672380,606986,42365572,1372
297088.30,3,253952,62,85467,5629146366,1,22371252,0,520,4,4,10033,615,17,585,667339,0,7,33600,13,11,115198983,1172,1,0,4,459,106407590,5,425630360,12,18,8,1491,585,0,0,47553912,2227067,1815309751,0,585,323,0,3,1,14,14,936,0,3,1813858553,1775624596,71951199,108026328,108026328,1,3,1,0,5617369088,73389,73389,14,14,14,108026332,5,3,150108,684213,1109739,15123,1813858553,667339,46445908,1372
299100.10,3,253952,62,92692,6107072188,1,23976039,0,580,4,4,10033,643,17,594,724035,0,7,36440,13,11,119243904,1190,1,0,4,459,115489325,5,461892632,12,18,8,1491,594,0,0,51798043,2414376,1960167080,0,594,335,0,3,1,14,14,936,0,3,1959356438,1926199327,78015021,117171142,117171142,1,3,1,0,6092899416,73389,73389,14,14,14,117171146,5,3,155814,742335,1200416,16300,1959356438,724035,50599508,1403
301105.62,3,253952,62,99193,6535369186,2,26445249,0,623,4,4,10033,695,17,612,770979,0,7,38998,13,11,123424030,1226,1,0,4,459,123571095,5,494284380,12,18,8,1491,612,0,0,55241540,2504472,2096196363,0,612,349,0,3,1,14,14,936,0,3,2094469569,2061375805,84015156,125417439,125433823,1,3,1,0,6521706860,73389,73389,14,14,14,125417443,5,3,167303,790457,1279608,17449,2094469569,770979,53963952,1459
303113.96,3,253952,62,105214,6931530022,2,27958925,0,646,5,5,10033,724,17,612,811952,0,7,41371,13,11,123737746,1226,1,0,4,459,131120927,5,524483708,12,19,8,1491,612,0,0,58063410,2547931,2234540681,0,612,349,0,3,1,14,14,936,0,3,2232579792,2186363906,88391070,133025204,133025204,1,3,1,0,6917310640,73389,73389,14,14,14,133025208,5,3,174237,832473,1345419,18565,2232579792,811952,56720114,1459
305125.01,5,253952,62,113365,7467608320,2,29294340,0,719,5,5,10033,767,17,612,882668,0,7,44550,13,11,123737746,1226,1,0,4,459,141219999,5,564879996,12,19,8,1491,612,0,0,62600117,2688952,2405208182,0,612,349,0,3,1,14,14,936,0,3,2403997768,2355749491,94395845,143285018,143301402,1,3,1,0,7450820968,73389,73389,14,14,14,143285022,5,3,175591,904803,1425354,19990,2403997768,882668,61177053,1459
307130.05,9,253952,62,121637,8012292170,2,30477478,0,801,5,5,10033,838,17,612,945207,0,7,47807,13,11,123737746,1226,1,0,4,459,151525213,5,606100852,12,19,8,1491,612,0,0,66935577,2769175,2581230141,0,612,349,0,3,1,14,14,936,0,3,2579196391,2527928101,99967141,153737122,153737122,1,3,1,0,7994330376,73389,73389,14,14,14,153737126,5,3,182417,968897,1509219,21474,2579196391,945207,65428822,1459
309139.29,9,253952,62,127512,8398896816,3,33072108,0,809,6,6,10033,859,17,621,977936,0,7,50098,13,11,125236907,1244,1,0,4,459,158823619,5,635294476,12,20,8,1491,621,0,0,69378504,2769345,2710839567,0,621,355,0,3,1,14,14,936,0,3,2708321926,2649660701,105004629,161156471,161156471,1,3,1,0,8380136524,73389,73389,14,14,14,161156475,5,3,185975,1002497,1556241,22519,2708321926,977936,67824818,1478
311144.35,9,253952,62,134884,8886070318,4,35237863,0,858,6,6,10033,923,18,621,1025917,0,7,53031,13,11,125236907,1244,1,0,4,459,168068507,5,672274028,12,20,8,1491,621,0,0,72850738,2807064,2864929680,0,621,355,0,3,1,14,14,936,0,3,2862666227,2803267404,110676002,170516436,170516436,1,3,1,0,8866854704,73389,73389,14,14,14,170516440,5,3,190490,1051750,1625224,23823,2862666227,1025917,71228210,1478
313151.01,10,253952,62,142231,9370386754,4,36852161,0,896,7,7,10033,954,18,621,1072011,0,7,55904,13,11,125236907,1244,1,0,4,459,177241388,5,708901164,12,21,8,1491,621,0,0,76245137,2821511,3018247446,0,621,355,0,3,1,14,14,936,0,3,3015586812,2955910904,115696548,179819501,179819501,1,3,1,0,9350614084,73389,73389,14,14,14,179819505,5,3,195706,1099036,1693209,25068,3015586812,1072011,74554757,1478
315159.88,10,253952,62,151543,9982878130,4,38062100,0,987,7,7,10033,1032,18,621,1142499,0,7,59571,13,11,125236907,1244,1,0,4,459,188792180,5,755168720,12,21,8,1491,621,0,0,81017411,2868022,3216610807,0,621,355,0,3,1,14,14,936,0,3,3213886109,3149458121,121713947,191551716,191568100,1,3,1,0,9960689264,73389,73389,14,14,14,191551720,5,3,200183,1171285,1788203,26743,3213886109,1142499,79232224,1478
