timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
465165.28,1,253952,62,148884,9809302482,22,50762187,0,296,30,30,6276,138,675,1147554,14,37730,20,13,143207792,1352,1,0,19,44,13,5,1353,675,0,0,0,36165702,13364791,2918216935,0,675,446,2,1,14,14,3636,1,2920807216,2871322001,128301404,222587652,222587652,1,2,1,9793856688,73389,73389,14,14,14,222587652,11,3,712701,1173072,2695185,22303,2920807216,1147554,33471759,2094
467176.10,1,253952,62,162779,10724378966,24,56899103,0,322,30,30,6276,140,675,1272494,14,41627,20,13,143738696,1352,1,0,19,44,13,5,1353,675,0,0,0,40031230,15100508,3186483280,0,675,446,2,1,14,14,3636,1,3187510224,3138716151,140247108,243378887,243395271,1,2,1,10708671028,73389,73389,14,14,14,243378887,11,3,733719,1300294,2882917,24341,3187510224,1272494,37149688,2094
469181.94,1,253952,62,176314,11616186862,24,60725430,0,361,30,30,6276,143,675,1390250,14,45456,20,13,144004148,1352,1,0,19,44,13,5,1353,675,0,0,0,44085883,16809158,3445215155,0,675,446,2,1,14,14,3636,1,3448081360,3399406198,153864104,263656185,263656185,1,2,1,11600872140,73389,73389,14,14,14,263656185,11,3,763076,1420381,3084642,26329,3448081360,1390250,41002739,2094
471186.71,1,253952,62,186324,12275653098,28,66029716,0,374,30,30,6276,144,675,1436770,14,48264,20,13,144269600,1352,1,0,19,44,13,5,1353,675,0,0,0,46243044,16827318,3641777021,0,675,446,2,1,14,14,3636,1,3640888272,3592280590,161399126,278635862,278635862,1,2,1,12259977928,73389,73389,14,14,14,278635862,11,3,774317,1468158,3152896,27800,3640888272,1436770,43091729,2094
473197.66,1,253952,62,200591,13215698798,28,68512474,0,410,37,37,6276,146,675,1533381,14,52268,20,13,144535052,1352,1,0,19,51,13,5,1353,675,0,0,0,49925811,18067353,3910079308,0,675,446,2,1,14,14,3636,1,3915615184,3866967349,170693046,300008729,300008729,1,2,1,13199663180,73389,73389,14,14,14,299992345,11,3,811227,1566950,3331905,29896,3915615184,1533381,46595611,2094
475202.74,1,253952,62,213637,14075459590,32,75993534,0,458,37,37,6276,149,675,1617853,14,55989,20,13,145065956,1352,1,0,19,51,13,5,1353,675,0,0,0,53339143,18890073,4166576801,0,675,446,2,1,14,14,3636,1,4166486992,4118337963,181763806,319548747,319548747,1,2,1,14059423972,73389,73389,14,14,14,319532363,11,3,831173,1653325,3451311,31810,4166486992,1617853,49889667,2094
477207.65,1,253952,62,224633,14800075226,36,80504014,0,491,38,38,6276,150,675,1671509,14,59097,20,13,145331408,1352,1,0,19,52,13,5,1353,675,0,0,0,55703269,18941714,4378875906,0,675,446,2,1,14,14,3636,1,4378299344,4330170747,190106213,336015050,336015050,1,2,1,14784662200,73389,73389,14,14,14,336015050,11,3,844620,1708359,3537288,33426,4378299344,1671509,52167913,2094
479220.87,1,253952,62,235867,15540288430,36,82150681,0,508,39,39,6276,152,675,1735419,14,62227,20,13,145596860,1352,1,0,19,53,13,5,1353,675,0,0,0,58246144,19061775,4593544266,0,675,446,2,1,14,14,3636,1,4594306000,4546523112,194514172,352841801,352841801,1,2,1,15524318348,73389,73389,14,14,14,352825417,11,3,855661,1773829,3626015,35074,4594306000,1735419,54629743,2094
481231.49,1,253952,62,250014,16472469810,36,84901918,0,542,43,43,6276,154,675,1849640,14,66190,20,13,145862312,1352,1,0,19,57,13,5,1353,675,0,0,0,62246993,20704254,4865775799,0,675,446,2,1,14,14,3636,1,4866673616,4819037612,204763054,374026252,374026252,1,2,1,16457155088,73389,73389,14,14,14,374026252,11,3,886367,1890296,3852521,37152,4866673616,1849640,58396676,2094
483236.92,1,253952,62,263368,17352415690,39,90027469,0,601,45,45,6276,157,675,1955285,14,69993,20,13,146393216,1352,1,0,19,59,13,5,1353,675,0,0,0,65962635,21361894,5123726833,0,675,446,2,1,14,14,3636,1,5123705808,5076261108,215365523,394008638,394025022,1,2,1,17336380072,73389,73389,14,14,14,394008638,11,3,908034,1998151,4007517,39113,5123705808,1955285,61957457,2094
485245.06,1,253952,62,273239,18003037874,43,95749227,0,623,45,45,6276,158,675,2017798,14,72741,20,13,146658668,1352,1,0,19,59,13,5,1353,675,0,0,0,68326971,21408591,5315836583,0,675,446,2,1,14,14,3636,1,5313760208,5266431539,223680076,408797740,408814124,1,2,1,17987100560,73389,73389,14,14,14,408797740,11,3,920368,2062003,4080534,40563,5313760208,2017798,64248856,2094
487251.68,1,253952,62,286929,18904577866,43,99484953,0,662,49,49,6276,161,675,2135668,14,76640,20,13,146924120,1352,1,0,19,63,13,5,1353,675,0,0,0,72295072,22259784,5574053234,0,675,446,2,1,14,14,3636,1,5576825675,5529939989,233051938,429304414,429304414,1,2,1,18889394216,73389,73389,14,14,14,429304414,11,3,951010,2182916,4257610,42574,5576825675,2135668,68040008,2094
489259.90,1,253952,62,301206,19845278926,45,104554811,0,701,49,49,6276,163,675,2254459,14,80645,20,13,147189572,1352,1,0,19,63,13,5,1353,675,0,0,0,76356852,23324763,5851939560,0,675,446,2,1,14,14,3636,1,5851421515,5804934511,243936562,450685473,450685473,1,2,1,19830160812,73389,73389,14,14,14,450685473,11,3,973193,2304120,4423571,44669,5851421515,2254459,71935968,2094
491275.48,1,253952,62,314980,20752291174,45,107926579,0,749,51,51,6276,167,675,2367956,14,84622,20,13,147720476,1352,1,0,19,65,13,5,1353,675,0,0,0,80298435,24249625,6117129872,0,675,446,2,1,14,14,3636,1,6116087145,6070077529,252204343,471298643,471298643,1,2,1,20736419396,73389,73389,14,14,14,471282259,11,3,995363,2419966,4605138,46695,6116087145,2367956,75696118,2094
493288.45,1,253952,62,329696,21722040056,48,114980112,0,788,53,53,6276,169,675,2482025,14,88745,20,13,148251380,1352,1,0,19,67,13,5,1353,675,0,0,0,84467677,25387663,6400652886,0,675,446,2,1,14,14,3636,1,6399726953,6353488621,265689663,493341095,493341095,1,2,1,21706287284,73389,73389,14,14,14,493324711,11,3,1025598,2536520,4788455,48859,6399726953,2482025,79682183,2094
495296.51,1,253952,62,343463,22629157224,48,118463827,0,829,54,54,6276,172,675,2591783,14,92713,20,13,148782284,1352,1,0,19,68,13,5,1353,675,0,0,0,88451866,27047032,6663130910,0,675,446,2,1,14,14,3636,1,6663778314,6618540362,277293156,513949947,513966331,1,2,1,22613797668,73389,73389,14,14,14,513949947,11,3,1063717,2648498,4985660,50880,6663778314,2591783,83469299,2094
497301.76,1,253952,62,356356,23478625556,52,125433975,0,878,55,55,6276,174,675,2678147,14,96331,20,13,149047736,1352,1,0,19,69,13,5,1353,675,0,0,0,91982417,27890169,6914648337,0,675,446,2,1,14,14,3636,1,6912028682,6866976964,289704442,533262748,533262748,1,2,1,23463560912,73389,73389,14,14,14,533262748,11,3,1082761,2738053,5125724,52774,6912028682,2678147,86859907,2094
499307.61,1,253952,62,366422,24141601276,53,128106935,0,916,55,55,6276,177,675,2734252,14,99259,20,13,149844092,1352,1,0,19,69,13,5,1353,675,0,0,0,94335449,27891664,7107542224,0,675,446,2,1,14,14,3636,1,7105092419,7060659046,294758227,548338570,548338570,1,2,1,24126897080,73389,73389,14,14,14,548338570,11,3,1103409,2795500,5211852,54253,7105092419,2734252,89126902,2094
501317.56,1,253952,62,376542,24808276472,53,129743371,0,941,55,55,6276,178,675,2798880,14,102053,20,13,149844092,1352,1,0,19,69,13,5,1353,675,0,0,0,96710494,27901059,7301753144,0,675,446,2,1,14,14,3636,1,7299865411,7255559963,298791449,563473895,563490279,1,2,1,24792851380,73389,73389,14,14,14,563473895,11,3,1109843,2861577,5299687,55739,7299865411,2798880,91414202,2094
503324.73,1,253952,62,389546,25664400016,53,132924996,0,978,59,59,6276,183,675,2914465,14,105880,20,13,150640448,1352,1,0,19,73,13,5,1353,675,0,0,0,100630721,29211582,7548704357,0,675,446,2,1,14,14,3636,1,7548266375,7505754058,308604216,582940185,582956569,1,2,1,25649368140,73389,73389,14,14,14,582940185,11,3,1159414,2979334,5557142,57648,7548266375,2914465,95077100,2094
505190.39,1,253952,62,400982,26415782060,59,137766731,4,1014,63,63,6276,191,675,2995406,14,109422,24,13,158511825,1359,1,1038,23,84,14,19,1566,675,687,1038,125,104423496,30324258,7767444444,8,675,446,2,1,14,14,3636,1,7763869224,7725268584,382014544,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,11,3,1200377,3062168,5739325,59330,7763869224,2995406,98687814,2094
