timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
125184.52,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
130190.89,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
135197.18,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
140202.90,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
145218.52,64,262144,64,4917,324484788,4,103,0,576,136829,0,3,1929,1,9,20,222,98645230,1154,1,4,306,5937877,4,23686892,8,1257,8597,4,290,576,5362,1549560494,6107922,356887,140413703,576,1320,0,3,1,4,4,681,3,139674501,105330702,6864439,6038775,6038775,3,1,314016332,73389,73389,4,4,4,6038779,4,3,40140,425759,406773,4548,1249,139674501,132281,5701868,5562
150230.06,168,262144,64,19708,1298557636,4,175,4,576,451078,0,3,7728,1,9,20,222,101480740,1154,1,4,306,24370297,4,97416536,8,3754,16163,4,290,576,16458,6755306054,24661638,1324669,450162703,576,1320,0,3,1,4,4,681,3,447755986,411876716,27306673,24766070,24782454,3,1,1287835672,73389,73389,4,4,4,24766074,4,3,46960,1467868,768971,17457,3746,447755986,433621,23892630,5562
155240.98,261,262144,64,34741,2289383080,4,248,5,576,737730,0,3,13627,1,9,20,222,103037254,1154,1,4,306,43135462,4,172541848,8,6239,22521,4,290,576,27642,12605948590,43238025,2274714,756286373,576,1320,0,3,1,4,4,681,3,752206260,723870060,47706177,43814568,43830952,3,1,2277505600,73389,73389,4,4,4,43798188,4,3,49498,2468613,1011811,30769,6231,752206260,706961,42227603,5562
160267.24,398,262144,64,49613,3269331446,4,375,8,576,1039057,0,3,19514,1,9,20,222,104883352,1154,1,4,306,61717512,4,246805420,8,8886,27731,4,290,576,38818,15379446598,61838950,3235910,1069679328,576,1320,0,3,1,4,4,681,3,1063854668,1032386343,68193576,62660425,62660425,3,1,3258342132,73389,73389,4,4,4,62660429,4,3,50668,3533296,1297545,42983,8878,1063854668,996074,60543689,5562
165296.74,477,262144,64,64012,4218329548,4,448,12,576,1353095,0,3,25171,1,9,20,222,106777714,1154,1,4,306,79707473,4,318765128,8,11341,37011,4,290,576,49742,20568880606,80409947,4223855,1371905354,576,1320,0,3,1,4,4,681,3,1364442543,1331346275,88663203,80908266,80908266,3,1,4207229864,73389,73389,4,4,4,80908270,4,3,56142,4610656,1555889,55519,11333,1364442543,1297576,78856796,5562
170307.05,604,262144,64,78376,5164442656,4,566,18,576,1666675,0,3,30850,1,9,20,222,108370426,1154,1,4,306,97613683,4,390389980,8,13820,69152,4,290,576,59830,21381129518,98951519,5286508,1667899989,576,1320,0,3,1,4,4,681,3,1658788727,1629202887,109168016,99086697,99119465,3,1,5152508276,73389,73389,4,4,4,99086701,4,3,59095,5755147,1806925,68960,13812,1658788727,1597715,97149199,5562
175330.32,693,262144,64,93400,6154690342,4,646,24,576,1974372,0,3,36758,1,9,20,222,109625290,1154,1,4,306,116385910,4,465479084,8,16368,76392,4,290,576,70978,25869814838,117452692,6296168,1980575712,576,1320,0,3,1,4,4,681,3,1969758452,1941019471,129613887,118143387,118143387,3,1,6143456156,73389,73389,4,4,4,118143391,4,3,60387,6859268,2102321,82503,16360,1969758452,1891869,115356117,5562
180342.66,823,262144,64,108635,7158428276,4,765,27,576,2275820,0,3,42774,1,9,20,222,110856022,1154,1,4,306,135386739,4,541417492,8,19039,87185,4,290,576,82874,31565093702,135949000,7372812,2301631401,576,1320,0,3,1,4,4,681,3,2289044560,2257050979,150116547,137447996,137447996,3,1,7147295824,73389,73389,4,4,4,137448000,4,3,64396,7978917,2367572,95423,19031,2289044560,2180397,133587235,5562
185359.68,909,262144,64,123920,8165642682,4,846,27,585,2579296,0,3,48763,1,9,20,222,113576437,1172,1,4,306,154407221,4,617499628,8,21678,91522,4,290,585,93942,33976925062,154509520,8326015,2625331810,585,1342,0,3,1,4,4,681,3,2610988913,2574808187,170539408,156756479,156772863,3,1,8151336940,73389,73389,4,4,4,156756483,4,3,69689,9049611,2609077,109298,21670,2610988913,2469998,151907899,5619
190368.96,996,262144,64,139112,9165669684,4,927,30,585,2880226,0,3,54709,1,9,20,222,114807169,1172,1,4,306,173269949,4,693015336,8,24366,96832,4,290,585,105906,39685640406,173058170,9286215,2954459345,585,1342,0,3,1,4,4,681,3,2938343921,2890508791,190969481,175928301,175944685,3,1,9148271684,73389,73389,4,4,4,175928305,4,3,71634,10114085,2855509,122430,24359,2938343921,2757796,170210848,5619
195383.32,1111,262144,64,153985,10145755982,4,1045,31,585,3184460,0,3,60579,1,9,20,222,115434601,1172,1,4,306,191789628,4,767093824,8,27030,103334,4,290,585,118374,48206217158,191631408,10250073,3274431344,585,1342,0,3,1,4,4,681,3,3256563930,3200194420,211422345,194733198,194733198,3,1,10125274360,73389,73389,4,4,4,194716818,4,3,75416,11176000,3113187,135284,27022,3256563930,3049176,188527234,5619
200399.01,1197,262144,64,169558,11171114180,4,1124,54,585,3487105,0,3,66691,1,9,20,222,116387815,1172,1,4,306,211188830,4,844755320,8,29707,121572,4,290,585,132634,64901124718,210198278,11198966,3603827505,585,1342,0,3,1,4,4,681,3,3584176643,3523729558,231871195,214410765,214410765,3,1,11149359812,73389,73389,4,4,4,214410769,4,3,76613,12238066,3364942,147758,29699,3584176643,3339347,206843187,5619
205415.15,1337,262144,64,185014,12189721682,4,1247,72,594,3796443,9,3,72780,1,9,20,222,118794699,1190,1,4,306,230390368,4,921561472,8,32548,134733,4,290,594,144958,69431388542,228729509,12209163,3943344442,585,1378,9,3,1,4,4,681,3,3921839196,3845432026,252341879,233920174,233920174,3,1,12163849080,73389,73389,4,4,4,233920178,4,3,78556,13352275,3644676,160157,32540,3921839196,3636286,225095630,5731
210432.21,1415,262144,64,200587,13216095558,4,1325,77,603,4092099,9,3,78884,1,9,20,222,121210723,1208,1,4,306,249781782,4,999062712,8,35253,143012,4,290,603,156950,74944172974,247352434,13111797,4277610668,594,1388,9,3,1,4,4,681,3,4254307886,4169358102,272791441,253620788,253620788,3,1,13188281008,73389,73389,4,4,4,253620792,4,3,85506,14370405,3909718,171799,35245,4254307886,3920300,243453498,5773
215444.72,1541,262144,64,215746,14215552584,4,1450,83,603,4405512,9,3,84849,1,9,20,222,121210723,1208,1,4,306,268578313,4,1074248708,8,38136,151769,4,290,603,170618,84987625158,265895181,14095650,4623209666,594,1388,9,3,1,4,4,681,3,4598043733,4486265540,293271165,272683511,272683511,3,1,14179542604,73389,73389,4,4,4,272683515,4,3,87457,15486103,4166137,184748,38128,4598043733,4220764,261739811,5773
220479.57,1628,262144,64,230489,15188048284,4,1525,86,603,4725232,9,3,90613,1,9,20,222,121210723,1208,1,4,306,286880422,4,1147392184,8,40798,157400,4,290,603,183078,93521042510,284465930,15106873,4951292554,594,1388,9,3,1,4,4,681,3,4924378950,4794112261,313774988,291262906,291262906,3,1,15144819176,73389,73389,4,4,4,291246526,4,3,89425,16618337,4404760,198219,40790,4924378950,4527013,280073425,5773
225502.59,1779,262144,64,245546,16180169074,4,1644,96,603,5047885,9,3,96511,1,9,20,222,121210723,1208,1,4,306,305479249,4,1221852572,8,43732,172841,4,290,603,195690,97660841278,302948592,16169487,5304601613,594,1388,9,3,1,4,4,681,3,5275806634,5109637458,334286521,310127306,310127306,3,1,16126619944,73389,73389,4,4,4,310127310,4,3,92339,17835415,4661673,211673,43724,5275806634,4836212,298299599,5773
230514.84,1869,262144,64,260645,17175368158,4,1723,99,603,5364961,9,3,102407,1,9,20,222,121210723,1208,1,4,306,324202173,4,1296808692,8,46457,180172,4,290,603,206906,99166405222,321609308,17106619,5640373972,594,1388,9,3,1,4,4,681,3,5609788297,5425275798,354774405,329118460,329118460,3,1,17114159952,73389,73389,4,4,4,329118464,4,3,93200,18904169,4913242,224899,46449,5609788297,5140062,316708937,5773
235535.69,2012,262144,64,275792,18172820086,4,1841,105,603,5686869,9,3,108340,1,9,20,222,121210723,1208,1,4,306,342935247,4,1371740988,8,49381,190956,4,290,603,219254,102239216270,340116185,18128926,5992849324,594,1388,9,3,1,4,4,681,3,5960382615,5741727136,375260436,348134634,348134634,3,1,18103001000,73389,73389,4,4,4,348134638,4,3,95959,20056270,5180110,237729,49373,5960382615,5449140,334950154,5773
240552.14,2102,262144,64,291059,19179367066,4,1921,111,603,5986415,9,3,114297,1,9,20,222,121210723,1208,1,4,306,361875896,4,1447374408,8,52155,200912,4,290,603,232490,112287803870,358714220,19108761,6335367165,594,1388,9,3,1,4,4,681,3,6301080929,6060755339,395723663,367344813,367361197,3,1,19101930308,73389,73389,4,4,4,367344817,4,3,97365,21113472,5419375,250375,52147,6301080929,5736040,353309509,5773
245565.16,2235,262144,64,306213,20177929310,4,2029,120,603,6306401,9,3,120226,1,9,20,222,121210723,1208,1,4,306,380561027,4,1522244108,8,55080,219184,4,290,603,245658,119192066478,377206727,20148827,6689962115,594,1388,9,3,1,4,4,681,3,6653794299,6378032459,416201754,386354510,386370894,3,1,20090434552,73389,73389,4,4,4,386354514,4,3,100832,22298485,5676390,263543,55072,6653794299,6042858,371546010,5773
250581.62,2301,262144,64,321431,21180601396,4,2120,126,603,6625446,9,3,126189,1,9,20,222,121210723,1208,1,4,306,399454567,4,1597689424,8,57927,228177,4,290,603,258678,126868106862,395551540,21296732,7038911116,594,1388,9,3,1,4,4,681,3,7000892380,6695818139,436684066,405528047,405528047,3,1,21087458476,73389,73389,4,4,4,405528051,4,3,101951,23505237,5961755,276150,57919,7000892380,6349296,389605942,5773
255591.18,2386,262144,64,336865,22198406604,4,2202,127,630,6971274,9,3,132187,1,9,20,222,126333382,1262,1,4,306,418475438,4,1673837080,8,60826,235699,4,290,630,272082,135368452350,413903739,22413508,7395812072,621,1480,9,3,1,4,4,681,3,7355913788,7019706403,457156242,424844722,424861106,3,1,22091925576,73389,73389,4,4,4,424844726,4,3,105662,24714616,6222448,288724,60818,7355913788,6682550,407697870,6183
260614.02,2520,262144,64,352221,23210496704,4,2320,134,666,7314788,9,3,138185,1,9,20,222,132929794,1334,1,4,306,437370452,4,1749417376,8,63881,254755,4,290,666,286058,143630164022,432378571,23489087,7764068425,657,1596,9,3,1,4,4,681,3,7722223204,7342387014,477697497,444051027,444051027,3,1,23090653436,73389,73389,4,4,4,444051031,4,3,108002,25952403,6510967,302086,63873,7722223204,7012702,425885215,6624
265633.29,2613,262144,64,367344,24206363702,4,2401,139,675,7648338,9,3,144079,1,9,20,222,134428494,1352,1,4,306,456071516,4,1824221388,8,66684,268277,4,290,675,300130,157075779446,450898624,24465923,8108316010,666,1614,9,3,1,4,4,681,3,8064645812,7658307410,498135275,463018049,463034433,3,1,24076512596,73389,73389,4,4,4,463009861,4,3,108033,27114446,6772386,315550,66677,8064645812,7332788,444145515,6697
270652.85,2733,262144,64,382556,25209290462,4,2516,146,729,7996893,9,3,150022,1,9,20,222,143758392,1460,1,4,306,474825600,4,1899237724,8,69683,279564,4,290,729,314442,167957153502,469331540,25611953,8470771346,720,1786,9,3,1,4,4,681,3,8425182222,7977920926,518711604,482078613,482078613,3,1,25068087908,73389,73389,4,4,4,482078617,4,3,111688,28389821,7066360,329390,69675,8425182222,7667503,462286468,7316
275677.61,2812,262144,64,397640,26203808156,4,2596,149,738,8330665,9,3,155912,1,9,20,222,145884495,1478,1,4,306,493487764,4,1973951056,8,72532,290828,4,290,738,328650,181181279214,487719529,26739065,8821637430,729,1811,9,3,1,4,4,681,3,8774201559,8293795546,539188407,501018456,501018456,3,1,26052959744,73389,73389,4,4,4,501018460,4,3,113382,29647316,7368814,343415,72524,8774201559,7987250,480371494,7403
280691.91,2931,262144,64,412778,27200996042,4,2708,157,810,8688702,9,3,161816,1,9,20,222,158526532,1622,1,4,306,512127120,4,2048443824,8,75600,309242,4,290,810,344186,196530105118,506217061,27793009,9192679720,801,2021,9,3,1,4,4,681,3,9143298059,8612123842,559750018,519915624,519915624,3,1,27035612480,73389,73389,4,4,4,519915628,4,3,116737,30888513,7671055,357607,75592,9143298059,8331095,498565741,8268
285705.09,3073,262144,64,431314,28421876734,6,2814,162,891,9116465,9,3,169026,1,11,20,222,173150882,1784,1,4,306,534984510,4,2139744300,10,79253,316949,4,341,891,361986,211533502286,529622110,29093141,9637765030,882,2336,9,3,1,4,4,681,3,9586051477,9000663853,585728980,543139883,543139883,3,1,28243273948,73389,73389,4,4,4,543139887,4,3,129927,32423020,8073866,374822,79243,9586051477,8741643,521571107,9321
290720.71,3243,262144,64,453506,29884077030,6,2970,177,1116,9658545,9,3,177630,1,11,20,222,212043842,2234,1,4,306,562156278,4,2248431112,10,83904,329139,4,341,1116,382434,220208906270,557146839,30816639,10195821200,1107,3031,9,3,1,4,4,681,3,10141196617,9468960170,616521360,570748133,570748133,3,1,29678902948,73389,73389,4,4,4,570748137,4,3,137223,34409093,8567557,395675,83894,10141196617,9262870,548601556,11934
