timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
160143.95,0,262144,64,184319,12146098106,0,102604123,4963,1,1,13908,1231,0,576,992458,2,72519,4,117508164,1154,1,4,230,229775000,4,919100000,3,31980,1302,2,7,576,54993499,3709,3871616384,576,76,3,1,2,2,553,3,3854288599,3827136866,161435740,233366548,233366548,3,1,12135060528,73389,73389,2,2,2,233366552,4,3,155295,2421450,700433,37686,31977,3854288599,954772,54295234,848
165148.34,0,262144,64,190891,12578996710,0,105224651,5168,1,1,13908,1284,0,576,1032680,2,75097,4,117508164,1154,1,4,230,237854502,4,951418008,3,33143,1580,2,7,576,57270057,3779,4011428843,576,76,3,1,2,2,553,3,3993458047,3963478505,166492261,241690891,241690891,3,1,12567926364,73389,73389,2,2,2,241690895,4,3,160920,2522071,732244,39273,33140,3993458047,993407,56540210,848
170152.66,0,262144,64,196205,12929113178,0,108349530,5329,1,1,13908,1311,0,576,1062618,2,77176,4,117508164,1154,1,4,230,244370428,4,977481712,3,34056,1699,2,7,576,59080266,3903,4123244136,576,76,3,1,2,2,553,3,4104762948,4073440192,171544645,248428145,248428145,3,1,12918263572,73389,73389,2,2,2,248428149,4,3,167679,2595139,757714,40481,34053,4104762948,1022137,58324946,848
175157.40,0,262144,64,201002,13245045884,0,111705665,5470,1,1,13908,1348,0,576,1088366,2,79118,4,117508164,1154,1,4,230,250615525,4,1002462100,3,34887,1879,2,7,576,60646792,4029,4222761882,576,76,3,1,2,2,553,3,4203823319,4172866032,176569797,254520390,254520390,3,1,13235060312,73389,73389,2,2,2,254520394,4,3,172014,2659171,776189,41491,34884,4203823319,1046875,59873038,848
180162.91,1,262144,64,206831,13628346290,0,114770607,5637,1,1,13908,1382,0,576,1123529,2,81381,4,117508164,1154,1,4,230,257709782,4,1030839128,3,35886,2007,2,7,576,62513909,4098,4344608702,576,76,3,1,2,2,553,3,4325121687,4293631102,181638320,261884554,261884554,3,1,13617996840,73389,73389,2,2,2,261884558,4,3,182282,2742600,807169,42746,35883,4325121687,1080783,61709274,848
185168.57,1,262144,64,213257,14052279938,0,117507068,5832,1,1,13908,1422,0,576,1162457,2,83900,4,117508164,1154,1,4,230,265791021,4,1063164084,3,36984,2205,2,7,576,64672888,4187,4478474341,576,76,3,1,2,2,553,3,4458377622,4427083313,186684938,270040739,270040739,3,1,14042118460,73389,73389,2,2,2,270040743,4,3,196342,2837689,845163,44197,36981,4458377622,1118260,63830288,848
190172.89,1,262144,64,218687,14410348496,0,120587727,5997,1,1,13908,1461,0,576,1193262,2,86068,4,117508164,1154,1,4,230,272597670,4,1090390680,3,37911,2249,2,7,576,66515178,4290,4589777620,576,76,3,1,2,2,553,3,4569167087,4539932634,191730353,276915098,276915098,3,1,14399585128,73389,73389,2,2,2,276915102,4,3,206042,2913792,878076,45417,37908,4569167087,1147845,65639741,848
195177.00,1,262144,64,223356,14717627142,0,124112083,6122,1,1,13908,1488,0,576,1219970,2,87888,4,117508164,1154,1,4,230,278349448,4,1113397792,3,38715,2289,2,7,576,67895902,4419,4688156109,576,76,3,1,2,2,553,3,4667107548,4636690882,196737120,282829278,282829278,3,1,14707122488,73389,73389,2,2,2,282829282,4,3,218537,2978578,908737,46517,38712,4667107548,1173453,66989886,848
200181.93,1,262144,64,226839,14947723062,0,128076861,6216,1,1,13908,1514,0,576,1238922,2,89297,4,117508164,1154,1,4,230,282859715,4,1131374124,3,39325,2304,2,7,576,68944171,4500,4761329500,576,76,3,1,2,2,553,3,4739947575,4709144350,201821663,287248196,287248196,3,1,14936906224,73389,73389,2,2,2,287248200,4,3,222634,3024120,923117,47311,39322,4739947575,1191611,68023844,848
205186.51,1,262144,64,231133,15230751490,0,131782616,6327,1,1,13908,1540,0,576,1263434,2,91004,4,117508164,1154,1,4,230,288163752,4,1152655008,3,40062,2379,2,7,576,70176255,4544,4850862577,576,76,3,1,2,2,553,3,4829081025,4798181233,206850135,292685081,292685081,3,1,15219624244,73389,73389,2,2,2,292685085,4,3,223759,3081728,935044,48232,40059,4829081025,1215202,69244048,848
210190.90,1,262144,64,234145,15429376654,0,135764499,6413,1,1,13908,1558,0,576,1279546,2,92188,4,117508164,1154,1,4,230,292040588,4,1168162352,3,40583,2382,2,7,576,71106989,4559,4914006409,576,76,3,1,2,2,553,3,4891939791,4860454807,211823768,296518493,296518493,3,1,15418961668,73389,73389,2,2,2,296518497,4,3,232809,3120306,954795,48882,40580,4891939791,1230664,70155105,848
215195.36,1,262144,64,235384,15511191124,0,140340560,6446,1,1,13908,1568,0,576,1286066,2,92678,4,117508164,1154,1,4,230,293573091,4,1174292364,3,40803,2382,2,7,576,71464249,4575,4940065453,576,76,3,1,2,2,553,3,4917879555,4886305416,216782043,298087039,298087039,3,1,15500526060,73389,73389,2,2,2,298087043,4,3,244765,3136181,974788,49145,40800,4917879555,1236921,70492405,848
