timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
224208.97,30,253952,62,228018,15022218012,8,47205089,1347,11,11,4119,1529,7,639,1579742,0,6,89654,15,85,128555708,1280,1,1081,0,4,473,284185440,6,1136741760,14,25,10,159,639,1081,4,0,0,107003249,2314571,4831365106,0,639,682,0,3,1,14,14,1022,0,3,4828023492,4738252018,156291943,288338620,288338620,1,3,1,0,14993608272,73389,73389,14,14,14,288338624,9,3,204586,1620253,2170266,40150,4828023492,1579742,104837404,2080
226213.93,30,253952,62,234054,15420001386,9,49863270,1379,11,11,4119,1550,7,639,1611438,0,6,91996,15,85,128579840,1280,1,1081,0,4,473,291682160,6,1166728640,14,25,10,159,639,1081,4,0,0,109437149,2314647,4960178991,0,639,682,0,3,1,14,14,1022,0,3,4956334435,4864072457,161384315,295942067,295942067,1,3,1,0,15388987516,73389,73389,14,14,14,295942071,9,3,207501,1652793,2215287,41186,4956334435,1611438,107226374,2080
228220.84,30,253952,62,240493,15844183702,9,51318235,1394,12,12,4119,1604,7,639,1648509,0,6,94556,15,85,128869424,1280,1,1081,0,4,473,299760445,6,1199041780,14,26,10,159,639,1081,4,0,0,112169858,2329528,5100446886,0,639,682,0,3,1,14,14,1022,0,3,5096233035,4997934332,165585336,304086186,304086186,1,3,1,0,15812481704,73389,73389,14,14,14,304086190,9,3,212558,1690864,2266276,42370,5096233035,1648509,109908197,2080
230226.32,30,253952,62,246653,16249478174,10,53896788,1414,12,12,4119,1629,7,639,1684058,0,6,96928,15,85,128869424,1280,1,1081,0,4,473,307357853,6,1229366956,14,26,10,159,639,1081,4,0,0,114700154,2334516,5238214586,0,639,682,0,3,1,14,14,1022,0,3,5233508805,5125747521,170697690,311857791,311857791,1,3,1,0,16216605164,73389,73389,14,14,14,311857795,9,3,217573,1727363,2315360,43483,5233508805,1684058,112389510,2080
232236.40,31,253952,62,254818,16788621724,10,55166693,1452,13,13,4119,1694,7,639,1743865,0,6,100154,15,85,129183140,1280,1,1081,0,4,473,317555185,6,1270091380,14,27,10,159,639,1081,4,0,0,118624261,2445687,5420114071,0,639,682,0,3,1,14,14,1022,0,3,5415248011,5297050460,175984796,322135260,322135260,1,3,1,0,16751033552,73389,73389,14,14,14,322135264,9,3,222649,1788735,2400403,45031,5415248011,1743865,116228741,2080
234249.57,33,253952,62,263636,17369739794,10,56629484,1525,13,13,4119,1740,7,639,1809187,0,6,103594,15,85,129183140,1280,1,1081,0,4,473,328485342,6,1313885316,14,27,10,159,639,1081,4,0,0,123007458,2612260,5614696296,0,639,682,0,3,1,14,14,1022,0,3,5610308420,5481341058,181978229,333222022,333222022,1,3,1,0,17327545176,73389,73389,14,14,14,333222026,9,3,226096,1855780,2486234,46641,5610308420,1809187,120526285,2080
236292.90,34,253952,62,272735,17969792318,10,57998509,1600,13,13,4119,1812,7,639,1879946,0,6,107177,15,85,129183140,1280,1,1081,0,4,473,339784578,6,1359138312,14,27,10,159,639,1081,4,0,0,127537528,2766437,5824819489,0,639,682,0,3,1,14,14,1022,0,3,5819854761,5671602274,188025550,344681298,344681298,1,3,1,0,17923427528,73389,73389,14,14,14,344681302,9,3,232722,1928413,2584828,48420,5819854761,1879946,124957949,2080
238298.11,35,253952,62,278744,18365142590,11,59932983,1617,13,13,4119,1835,7,639,1911764,0,6,109509,15,85,129183140,1280,1,1081,0,4,473,347236123,6,1388944492,14,27,10,159,639,1081,4,0,0,129996309,2772218,5951355435,0,639,682,0,3,1,14,14,1022,0,3,5946035307,5796741058,192424166,352256295,352256295,1,3,1,0,18317327372,73389,73389,14,14,14,352256299,9,3,235534,1961140,2621836,49442,5946035307,1911764,127379816,2080
240311.04,36,253952,62,285478,18808428772,11,61951644,1658,14,14,4119,1891,7,639,1953478,0,6,112155,15,85,129484790,1280,1,1081,0,4,473,355589587,6,1422358348,14,28,10,159,639,1081,4,0,0,132870558,2772368,6107406566,0,639,682,0,3,1,14,14,1022,0,3,6102492178,5937116266,197316126,360713869,360730253,1,3,1,0,18757121220,73389,73389,14,14,14,360713873,9,3,240432,2003989,2682763,50773,6102492178,1953478,130193256,2080
242316.61,36,253952,62,293713,19351834060,11,63340071,1707,14,14,4119,1932,7,639,2011820,0,6,115376,15,85,129484790,1280,1,1081,0,4,473,365836889,6,1463282948,14,28,10,159,639,1081,4,0,0,136924442,2909729,6286511741,0,639,682,0,3,1,14,14,1022,0,3,6281039412,6108946387,202871054,371124569,371124569,1,3,1,0,19298477620,73389,73389,14,14,14,371124573,9,3,244716,2063950,2752572,52231,6281039412,2011820,134177497,2080
