timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
605977.44,20,253952,62,149034,9818252064,6,36074494,907,8,8,4998,1017,2,594,1030317,0,13,58639,16,0,120484254,1190,1,0,4,1113,185872108,6,743488432,15,22,10,197,594,0,0,73871625,2022382,3125107952,0,594,532,0,3,1,14,14,1651,0,3,3122540099,3094384632,111810494,188588371,188604755,1,3,1,0,9806595324,73389,73389,14,14,14,188588375,6,3,203512,1056193,1582757,25976,3122671171,1030342,72291728,1642
607990.38,20,253952,62,155895,10270392222,6,37560734,933,9,9,4998,1054,2,603,1081618,0,13,61345,16,0,121925921,1208,1,0,4,1113,194457885,6,777702404,15,23,10,197,603,0,0,77496947,2173737,3270712603,0,603,542,0,3,1,14,14,1651,0,3,3267829928,3236466823,117070744,197311963,197311963,1,3,1,0,10260222108,73389,73389,14,14,14,197311967,6,3,214437,1108717,1673672,27165,3267829928,1081618,75826265,1671
610001.41,21,253952,62,163322,10760603102,6,39384919,974,9,9,4998,1095,2,603,1142033,0,13,64262,16,0,121925921,1208,1,0,4,1113,203724115,6,814896460,15,23,10,197,603,0,0,81550120,2347119,3426753107,0,603,542,0,3,1,14,14,1651,0,3,3423980718,3390910586,123116554,206725398,206725398,1,3,1,0,10748868760,73389,73389,14,14,14,206709018,6,3,221782,1170487,1754524,28449,3423980718,1142033,79798737,1671
612011.63,25,253952,62,171133,11274576476,6,41059112,1022,9,9,4998,1156,2,612,1198716,0,13,67339,16,0,123367930,1226,1,0,4,1113,213431269,6,853660532,15,23,10,197,612,0,0,85830757,2490637,3584979724,0,612,550,0,3,1,14,14,1651,0,3,3581785872,3552815220,129206401,216604062,216604062,1,3,1,0,11263411256,73389,73389,14,14,14,216604066,6,3,225583,1228675,1830500,29782,3581785872,1198716,84003558,1700
614020.30,27,253952,62,179417,11820650058,6,42465589,1097,9,9,4998,1201,2,612,1260083,0,13,70594,16,0,123367930,1226,1,0,4,1113,223797727,6,895126344,15,23,10,197,612,0,0,90290515,2656377,3759239163,0,612,550,0,3,1,14,14,1651,0,3,3756268277,3724873614,135218648,227101000,227101000,1,3,1,0,11809252032,73389,73389,14,14,14,227101004,6,3,228702,1291615,1912336,31215,3756268277,1260083,88381650,1700
616026.73,28,253952,62,187954,12383536444,6,43765424,1159,9,9,4998,1266,2,630,1316981,0,13,73978,16,0,126309248,1262,1,0,4,1113,234453304,6,937813216,15,23,10,197,630,0,0,94572815,2699704,3936900427,0,630,564,0,3,1,14,14,1651,0,3,3933363072,3902034957,140836669,237925174,237925174,1,3,1,0,12371257112,73389,73389,14,14,14,237908794,6,3,232272,1350015,1993318,32707,3933363072,1316981,92583146,1765
618032.49,29,253952,62,193823,12769096310,7,46522242,1175,9,9,4998,1308,2,630,1346583,0,13,76280,16,0,126309248,1262,1,0,4,1113,241780027,6,966990732,15,23,10,197,630,0,0,96833648,2700366,4062932568,0,630,564,0,3,1,14,14,1651,0,3,4059180098,4023702961,145853218,245324265,245324265,1,3,1,0,12756861812,73389,73389,14,14,14,245324269,6,3,234594,1380359,2029232,33755,4059180098,1346583,94808151,1765
620038.24,29,253952,62,199814,13163640980,7,47417346,1198,9,9,4998,1334,2,630,1378295,0,13,78609,16,0,126309248,1262,1,0,4,1113,249214337,6,996857348,15,23,10,197,630,0,0,99275993,2700800,4188974038,0,630,564,0,3,1,14,14,1651,0,3,4185521759,4148121347,149191385,252897103,252897103,1,3,1,0,13150649388,73389,73389,14,14,14,252897107,6,3,235276,1412838,2060200,34779,4185521759,1378295,97219620,1765
622044.26,29,253952,62,205665,13548346980,7,49525783,1237,9,9,4998,1378,2,630,1410217,0,13,80903,16,0,126309248,1262,1,0,4,1113,256457230,6,1025828920,15,23,10,197,630,0,0,101708969,2700955,4313842201,0,630,564,0,3,1,14,14,1651,0,3,4310027290,4269761513,153731811,260261267,260261267,1,3,1,0,13533585916,73389,73389,14,14,14,260261271,6,3,240975,1445612,2094112,35825,4310027290,1410217,99618780,1765
624049.74,30,253952,62,211614,13940163270,7,50896206,1265,9,9,4998,1408,2,630,1444547,0,13,83250,16,0,126309248,1262,1,0,4,1113,263938845,6,1055755380,15,23,10,197,630,0,0,104331749,2701837,4438839876,0,630,564,0,3,1,14,14,1651,0,3,4434790899,4393047017,157725042,267801337,267801337,1,3,1,0,13925669556,73389,73389,14,14,14,267801341,6,3,243641,1480813,2130979,36852,4434790899,1444547,102204788,1765
