timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
336211.61,27,253952,62,167414,11029693186,6,34558782,1398,9,9,5127,1137,5,594,1390465,0,8,65862,13,119926031,1190,1,4,1722,208759601,9,834973768,12,23,7,2660,594,88049701,1576616,3526069758,594,735,0,3,1,14,14,2354,3,3523084234,3477541471,124000593,211787610,211803994,1,3,1,11012955752,73389,73389,14,14,14,211787614,9,3,178107,1423832,1936299,29290,3523091338,1390465,86116864,2092
338217.62,28,253952,62,176685,11639445004,6,35668745,1489,9,9,5127,1186,5,594,1469534,0,8,69503,13,119926031,1190,1,4,1722,220326689,9,881306756,12,23,7,2660,594,92934640,1580879,3721967099,594,735,0,3,1,14,14,2354,3,3718394077,3669402376,129996724,223519825,223519825,1,3,1,11623030932,73389,73389,14,14,14,223519829,9,3,178504,1504714,2021227,30892,3718394077,1469534,90917076,2092
340222.62,28,253952,62,186182,12266100338,6,36714711,1582,9,9,5127,1243,5,630,1548037,0,8,73219,13,126548081,1262,1,4,1722,232110498,9,928377460,12,23,7,2660,630,97927667,1589956,3926495507,630,763,0,3,1,14,14,2354,3,3922986937,3867515764,136044367,235521488,235521488,1,3,1,12247117408,73389,73389,14,14,14,235521492,9,3,180835,1585025,2113161,32582,3922986937,1548037,95818368,2213
342228.02,28,253952,62,195699,12893607240,6,38069406,1650,9,9,5127,1306,5,657,1621229,0,8,76951,13,131613871,1316,1,4,1722,243935495,9,975677620,12,23,7,2660,657,102538098,1590100,4137748670,657,779,0,3,1,14,14,2354,3,4133920751,4066178547,142008133,247499019,247499019,1,3,1,12869949020,73389,73389,14,14,14,247499023,9,3,183817,1659955,2223978,34336,4133920751,1621229,100318172,2290
344232.21,28,253952,62,204287,13459217654,6,39290923,1724,9,9,5127,1353,11,666,1683282,0,8,80297,13,133112241,1334,1,4,1722,254577418,9,1018309672,12,23,7,2660,666,106659516,1590486,4323978902,666,784,0,3,1,14,14,2354,3,4319846485,4244741028,147350381,258342180,258342180,1,3,1,13433793392,73389,73389,14,14,14,258342184,9,3,185962,1723501,2304827,35857,4319846485,1683282,104358924,2315
346237.49,28,253952,62,210927,13897887900,7,41771142,1739,10,10,5127,1402,11,684,1725397,0,8,82922,13,136353142,1370,1,4,1722,262875762,9,1051503048,12,24,7,2660,684,109556377,1590659,4470170340,684,792,0,3,1,14,14,2354,3,4466186620,4383797975,152726407,266709198,266709198,1,3,1,13868878328,73389,73389,14,14,14,266709202,9,3,192124,1766703,2360844,37085,4466186620,1725397,107199878,2366
348242.60,28,253952,62,220552,14531631256,7,43288669,1802,10,10,5127,1470,11,738,1795364,0,8,86702,13,146195628,1478,1,4,1722,274822691,9,1099226128,12,24,7,2660,738,114045605,1590901,4683740508,738,824,0,3,1,14,14,2354,3,4680213933,4584020346,158732313,278842377,278858761,1,3,1,14499803636,73389,73389,14,14,14,278842381,9,3,193180,1838350,2433829,38879,4680213933,1795364,111616314,2526
350247.76,28,253952,62,229932,15149858076,7,44851988,1862,10,10,5127,1526,11,738,1866457,0,8,90376,13,146509344,1478,1,4,1722,286478510,9,1145914040,12,24,7,2660,738,118523083,1591142,4891921263,738,824,0,3,1,14,14,2354,3,4887692296,4779797803,164772684,290664260,290664260,1,3,1,15114541552,73389,73389,14,14,14,290664264,9,3,194449,1911152,2505816,40594,4887692296,1866457,116022000,2526
352253.08,28,253952,62,239378,15771432926,7,46467901,1918,10,10,5127,1579,15,747,1933680,0,8,94061,13,148007112,1496,1,4,1722,298188629,9,1192754516,12,24,7,2660,747,122908871,1591463,5097656156,747,829,0,3,1,14,14,2354,3,5094143080,4976394647,170736688,302541772,302574540,1,3,1,15732172176,73389,73389,14,14,14,302541776,9,3,197724,1980024,2587763,42292,5094143080,1933680,120326031,2552
354257.64,28,253952,62,249022,16407540418,7,48037554,1968,10,10,5127,1650,15,747,2004536,0,8,97850,13,148344960,1496,1,4,1722,310179322,9,1240717288,12,24,7,2660,747,127319741,1591719,5320150790,747,829,0,3,1,14,14,2354,3,5315803170,5177919959,176697229,314703401,314703401,1,3,1,16364576884,73389,73389,14,14,14,314703405,9,3,201481,2052618,2657817,44152,5315803170,2004536,124667042,2552
356261.70,28,253952,62,256315,16887099244,8,50412315,2016,10,10,5127,1707,15,747,2047054,0,8,100701,13,148634544,1496,1,4,1722,319202958,9,1276811832,12,24,7,2660,747,130349377,1591876,5478047687,747,829,0,3,1,14,14,2354,3,5473179512,5329354900,182154236,323900414,323900414,1,3,1,16842821560,73389,73389,14,14,14,323900418,9,3,204904,2096214,2705739,45471,5473179512,2047054,127648878,2552
358266.08,28,253952,62,265161,17470619424,8,51834554,2046,11,11,5127,1752,15,756,2104143,0,8,104154,13,150132663,1514,1,4,1722,330174637,9,1320698548,12,25,7,2660,756,134049501,1592074,5676192311,756,833,0,3,1,14,14,2354,3,5673259695,5514648506,187256651,334999242,335015626,1,3,1,17419960616,73389,73389,14,14,14,334999246,9,3,209457,2154673,2775692,47112,5673259695,2104143,131279200,2575
360270.79,28,253952,62,275339,18141421490,8,53531349,2103,11,11,5127,1827,15,855,2172985,0,8,108131,13,167810487,1712,1,4,1722,342802506,9,1371016120,12,25,7,2660,855,138398264,1592295,5913372459,855,884,0,3,1,14,14,2354,3,5908538951,5727311182,193306890,347806324,347806324,1,3,1,18085928880,73389,73389,14,14,14,347806328,9,3,211691,2225165,2860686,49080,5908538951,2172985,135543158,2848
362274.95,28,253952,62,283076,18649960826,9,55745427,2150,11,11,5127,1863,15,882,2218057,0,8,111141,13,172957287,1766,1,4,1722,352376677,9,1409441948,12,25,7,2660,882,141560374,1592464,6087489858,882,898,0,3,1,14,14,2354,3,6081899603,5888634364,198694722,357517274,357517274,1,3,1,18590898280,73389,73389,14,14,14,357517278,9,3,216062,2271456,2927627,50499,6081899603,2218057,138638458,2914
364278.87,28,253952,62,289585,19079611480,9,57313595,2192,11,11,5127,1914,15,882,2255376,0,8,113694,13,173572653,1766,1,4,1722,360440239,9,1441696392,12,25,7,2660,882,144085455,1592509,6234057995,882,898,0,3,1,14,14,2354,3,6229797300,6024769096,202787653,365712260,365712260,1,3,1,19017037552,73389,73389,14,14,14,365712264,9,3,218072,2309736,2972557,51742,6229797300,2255376,141118706,2914
366283.07,28,253952,62,299829,19755426684,9,58946376,2237,12,12,5127,1969,15,891,2312477,0,8,117717,13,175373308,1784,1,4,1722,373204593,9,1492753728,12,26,7,2660,891,148252415,1592576,6452723376,891,903,0,3,1,14,14,2354,3,6447261352,6238224243,208586656,378658162,378658162,1,3,1,19690224456,73389,73389,14,14,14,378658166,9,3,221978,2368377,3043454,53523,6447261352,2312477,145214930,2939
368287.51,28,253952,62,310358,20450414354,9,60683155,2287,12,12,5127,2046,15,891,2377486,0,8,121833,13,175687024,1784,1,4,1722,386189650,9,1544758600,12,26,7,2660,891,152521587,1592662,6694655978,891,903,0,3,1,14,14,2354,3,6689024986,6458814157,214561354,391911042,391911042,1,3,1,20379374216,73389,73389,14,14,14,391911046,9,3,227726,2435067,3112415,55537,6689024986,2377486,149415317,2939
