timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
500153.39,15,253952,62,110161,7256240200,6,39650832,814,8,8,4643,753,1,576,977528,0,6,43320,11,116602928,1154,1,0,4,1118,137312343,7,549249372,10,22,6,891,576,0,0,62514131,5246037,2324120872,0,576,742,0,3,1,14,14,1731,3,2321755444,2287889374,107231573,139322693,139322693,1,3,1,7244780068,73389,73389,14,14,14,139322697,10,3,173710,1000104,1487867,19309,2321755444,977528,61028635,2065
502165.13,17,253952,62,115094,7581773564,6,40809443,846,9,9,4643,794,1,576,1018650,0,6,45267,11,116602928,1154,1,0,4,1118,143484572,7,573873528,10,23,6,891,576,0,0,65152074,5468031,2429135041,0,576,742,0,3,1,14,14,1731,3,2426666755,2390759971,111251417,145566268,145566268,1,3,1,7569445968,73389,73389,14,14,14,145566272,10,3,179218,1042281,1534652,20202,2426666755,1018650,63619904,2065
504182.19,18,253952,62,120530,7939861292,6,43171930,892,9,9,4643,829,1,576,1074705,0,6,47403,11,116602928,1154,1,0,4,1118,150256225,7,600960320,10,23,6,891,576,0,0,68305800,6046319,2541131969,0,576,742,0,3,1,14,14,1731,3,2539062877,2503549340,117349671,152450978,152450978,1,3,1,7926598920,73389,73389,14,14,14,152434598,10,3,183152,1099572,1592217,21128,2539062877,1074705,66716188,2065
506197.83,19,253952,62,125946,8297338128,7,45254777,944,10,10,4643,853,1,576,1129006,0,6,49527,11,116602928,1154,1,0,4,1118,157007256,7,628029024,10,24,6,891,576,0,0,71452294,6655018,2652587638,0,576,742,0,3,1,14,14,1731,3,2650322920,2616212954,123170072,159314986,159314986,1,3,1,8284379304,73389,73389,14,14,14,159314990,10,3,189525,1155067,1664952,22032,2650322920,1129006,69790081,2065
508215.08,20,253952,62,131390,8655407174,7,47285216,987,10,10,4643,897,1,576,1202192,0,6,51671,11,116602928,1154,1,0,4,1118,163767715,7,655070860,10,24,6,891,576,0,0,74576857,7364456,2770949230,0,576,742,0,3,1,14,14,1731,3,2769015273,2729085111,129023011,166187630,166187630,1,3,1,8640904824,73389,73389,14,14,14,166171250,10,3,192444,1229503,1747513,23037,2769015273,1202192,72832213,2065
510221.35,20,253952,62,136140,8968875054,8,49811325,1020,10,10,4643,926,1,576,1235108,0,6,53557,11,116602928,1154,1,0,4,1118,169761639,7,679046556,10,24,6,891,576,0,0,76943392,7441697,2871378207,0,576,742,0,3,1,14,14,1731,3,2868426913,2827807352,133988490,172218213,172218213,1,3,1,8955347108,73389,73389,14,14,14,172218217,10,3,194687,1263268,1782290,23854,2868426913,1235108,75164070,2065
512233.06,22,253952,62,141395,9314557796,8,51116459,1068,11,11,4643,957,1,576,1281501,0,6,55610,11,116916644,1154,1,0,4,1118,176279786,7,705119144,10,25,6,891,576,0,0,79848110,7797292,2980212532,0,576,742,0,3,1,14,14,1731,3,2977275182,2937005113,138547301,178845097,178861481,1,3,1,9299945076,73389,73389,14,14,14,178845101,10,3,200222,1310761,1856000,24758,2977275182,1281501,77995195,2065
514247.80,23,253952,62,146695,9664408324,8,53593354,1115,11,11,4643,1003,3,585,1330344,0,6,57711,11,118357797,1172,1,0,4,1118,182910242,7,731640968,10,25,6,891,585,0,0,83003386,8469341,3093405794,0,585,753,0,3,1,14,14,1731,3,3090487659,3047235531,144829874,185569841,185569841,1,3,1,9649631764,73389,73389,14,14,14,185569845,10,3,206786,1360888,1922734,25717,3090487659,1330344,81083862,2101
516266.16,23,253952,62,152267,10031433080,8,55849153,1168,11,11,4643,1028,3,585,1383990,0,6,59889,11,118357797,1172,1,0,4,1118,189876202,7,759440140,10,25,6,891,585,0,0,86221141,8936156,3211925266,0,585,753,0,3,1,14,14,1731,3,3208734809,3162634688,150754229,192634775,192634775,1,3,1,10017008332,73389,73389,14,14,14,192634779,10,3,210220,1415757,1990250,26675,3208734809,1383990,84234228,2101
518276.11,23,253952,62,157661,10387431926,8,58011988,1225,11,11,4643,1060,3,585,1433572,0,6,62018,11,118357797,1172,1,0,4,1118,196611660,7,786381932,10,25,6,891,585,0,0,89476012,9548348,3322948930,0,585,753,0,3,1,14,14,1731,3,3319888625,3274986501,156765126,199466015,199466015,1,3,1,10372232812,73389,73389,14,14,14,199466019,10,3,214143,1469576,2054016,27605,3319888625,1433572,87425465,2101
