event,value,description
GlobalThreadPoolJobWaitTimeMicroseconds,2566858,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,17763,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,17650,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,127801,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,1638172,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,418928,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,10121469279,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,16108273,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,1403,Total time spent analyzing index of patch parts
InsertedRows,866037932,Number of rows INSERTed to all tables.
InsertedBytes,120510159682,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,20548,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
ExternalProcessingFilesTotal,102,Number of files used by external processing (sorting/aggragating/joining)
JoinBuildTableRowCount,48,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,7099192188,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,28396768752,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,57,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,5850,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,42889,Total time spent executing query plan optimizations.
SelectedParts,168,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,168,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,168,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,880668,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,880668,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,8932571601,Number of rows SELECTed from all tables.
SelectedBytes,528104524265,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,30608923014,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,7200454824,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataPartsMicroseconds,675,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,117,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,408433,Time spent loading marks
LoadedMarksFiles,126,Number of mark files loaded.
LoadedMarksCount,660627,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,2981856,Size of in-memory representations of loaded marks.
Merge,146,Number of launched background merges.
MergeSourceParts,891,Number of source parts scheduled for merges.
MergedRows,1987805598,Rows read for background merges. This is the number of rows before merge.
MergedColumns,542,Number of columns merged during the horizontal stage of merges.
GatheredColumns,1428,Number of columns gathered during the vertical stage of merges.
MergedUncompressedBytes,274356732892,Uncompressed bytes (for columns as they stored in memory) that was read for background merges. This is the number before merge.
MergeTotalMilliseconds,628803,Total time spent for background merges
MergeExecuteMilliseconds,628052,Total busy time spent for execution of background merges
MergeHorizontalStageTotalMilliseconds,181939,Total time spent for horizontal stage of background merges
MergeHorizontalStageExecuteMilliseconds,181763,Total busy time spent for execution of horizontal stage of background merges
MergeVerticalStageTotalMilliseconds,446528,Total time spent for vertical stage of background merges
MergeVerticalStageExecuteMilliseconds,446054,Total busy time spent for execution of vertical stage of background merges
MergeProjectionStageTotalMilliseconds,336,Total time spent for projection stage of background merges
MergeProjectionStageExecuteMilliseconds,235,Total busy time spent for execution of projection stage of background merges
MergingSortedMilliseconds,4019,Total time spent while merging sorted columns
GatheringColumnMilliseconds,9191,Total time spent while gathering columns for vertical merge
MergeTreeDataWriterRows,866037932,Number of rows INSERTed to MergeTree tables.
MergeTreeDataWriterUncompressedBytes,120510159682,Uncompressed bytes (for columns as they stored in memory) INSERTed to MergeTree tables.
MergeTreeDataWriterCompressedBytes,46318909299,Bytes written to filesystem for data INSERTed to MergeTree tables.
MergeTreeDataWriterBlocks,782,Number of blocks INSERTed to MergeTree tables. Each block forms a data part of level zero.
MergeTreeDataWriterBlocksAlreadySorted,710,Number of blocks INSERTed to MergeTree tables that appeared to be already sorted.
MergeMutateBackgroundExecutorTaskExecuteStepMicroseconds,628788303,Time spent in executeStep() for MergeMutate executor tasks.
MergeMutateBackgroundExecutorTaskResetMicroseconds,7180,Time spent resetting task for MergeMutate executor.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,8398173,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,121,Time spent resetting task for Common executor.
MergeTreeDataWriterSortingBlocksMicroseconds,5174730,Time spent sorting blocks
InsertedWideParts,780,Number of parts inserted in Wide format.
InsertedCompactParts,2,Number of parts inserted in Compact format.
MergedIntoWideParts,146,Number of parts merged into Wide format.
ContextLock,115986,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,394,Context lock wait time in microseconds
RWLockAcquiredReadLocks,2825,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,135883,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,13,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,1985,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,83766,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,98,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,38205,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,12359672570,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,4676122604,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,172970300,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,17713632,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,40448647,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,4848790352,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadBytes,60991524864,"Number of bytes read from disks or block devices. Doesn't include bytes read from page cache. May include excessive data due to block size, readahead, etc."
OSWriteBytes,152032641024,Number of bytes written to disks or block devices. Doesn't include bytes that are in page cache dirty pages. May not include data that was written by OS asynchronously.
OSReadChars,257917190946,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,151916436335,"Number of bytes written to filesystem, including page cache, as well as network and other files."
CannotWriteToWriteBufferDiscard,2124,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
S3ReadMicroseconds,363577917,Time of GET and HEAD requests to S3 storage.
S3ReadRequestsCount,3192,Number of GET and HEAD requests to S3 storage.
S3HeadObject,8,Number of S3 API HeadObject calls.
S3GetObject,3176,Number of S3 API GetObject calls.
S3Clients,8,Number of created S3 clients.
EngineFileLikeReadFiles,8,Number of files read in table engines working with files (like File/S3/URL/HDFS).
ReadBufferFromS3Microseconds,887319913,Time spent on reading from S3.
ReadBufferFromS3InitMicroseconds,364816825,Time spent initializing connection to S3.
ReadBufferFromS3Bytes,33252786128,Bytes read from S3.
RemoteFSPrefetches,2,Number of prefetches made with asynchronous reading from remote filesystem
RemoteFSPrefetchedReads,2,Number of reads from prefecthed buffer
RemoteFSPrefetchedBytes,1242,Number of bytes from prefecthed buffer
RemoteFSBuffers,2,Number of buffers created for asynchronous reading from remote filesystem
ThreadpoolReaderTaskMicroseconds,75299,Time spent getting the data in asynchronous reading
ThreadpoolReaderPrepareMicroseconds,3,Time spent on preparation (e.g. call to reader seek() method)
ThreadpoolReaderReadBytes,1242,Bytes read from a threadpool task in asynchronous reading
ThreadpoolReaderSubmit,341,Bytes read from a threadpool task in asynchronous reading
AsynchronousReaderIgnoredBytes,10102667,Number of bytes ignored during asynchronous reading
ThreadPoolReaderPageCacheHit,568638,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,69202729043,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,30457382,Time spent reading data from page cache in ThreadPoolReader.
ThreadPoolReaderPageCacheMiss,401228,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissBytes,49449519144,Number of bytes read inside ThreadPoolReader when read was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissElapsedMicroseconds,105638387,Time spent reading data inside the asynchronous job in ThreadPoolReader - when read was not done from the page cache.
SynchronousReadWaitMicroseconds,192631413,Time spent in waiting for synchronous reads in asynchronous local read.
AsynchronousRemoteReadWaitMicroseconds,74446,Time spent in waiting for asynchronous remote reads.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,90,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,78837,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,33087,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,13105,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,3541,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,14922,Amount of candidate parts for merge
MergerMutatorSelectRangePartsCount,891,Amount of parts in selected range for merge
AsyncLoaderWaitMicroseconds,184,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,141,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,3012490,Cumulative time spend in logging
InterfaceHTTPSendBytes,22459,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,500,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,20394857,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,24573,Number of bytes received through native interfaces
StorageConnectionsCreated,33,Number of created connections for storages
StorageConnectionsReused,3159,Number of reused connections for storages
StorageConnectionsPreserved,3163,Number of preserved connections for storages
StorageConnectionsExpired,29,Number of expired connections for storages
StorageConnectionsElapsedMicroseconds,788152,Total time spend on creating connections for storages
HTTPServerConnectionsCreated,2,Number of created server HTTP connections
HTTPServerConnectionsExpired,1,Number of expired server HTTP connections.
HTTPServerConnectionsReset,1,Number of reset server HTTP connections. Server closes connection
AddressesDiscovered,40,Total count of new addresses in DNS resolve results for HTTP connections
AddressesExpired,24,Total count of expired addresses which is no longer presented in DNS resolve results for HTTP connections
ConcurrencyControlSlotsGranted,1607,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlSlotsAcquired,766,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,1607,Total number of noncompeting CPU slot acquired
MemoryWorkerRun,23082,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,1425293,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,41164,Number of rows that passed the filter in the query
FilterTransformPassedBytes,2517314,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,145,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,145,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
